# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
advise	v. （使）附属，隶属；加入，加盟，并入；接纳；紧密联系n. 分支机构；子公司；分社；联号
advocate	vt. 肯定；断言vi. 确认；断言
aerial	vt. 折磨；使痛苦；使苦恼
aero	vt. 买得起；给予，提供n. (Afford) （英、美）阿福德（人名）
aeroplane	adj. 害怕的；恐怕；担心的
aesthetic	n. 非洲
affair	adj. （与）非洲（有关）的；非洲人的n. 非洲人（尤指黑人）；非洲黑人后裔
affect	prep. 在……之后；在……身后；反复；跟随；追求；以……命名
affection	conj. 在……之后adv. 后来，以后adj. 后来的，以后的；后部的
affiliate	n. 午后，下午
affirm	adv. 以后，后来
afflict	adv. 又，此外；再一次；再说；增加n. （英、保）阿盖恩prep.相反,反对,逆着,靠着,倚着
afford	n. 年龄；时代；寿命，使用年限；阶段vi. 成熟；变老vt. 使成熟；使变老，使上年纪n. (Age)人名；(瑞典)阿格；(日)扬 (姓)；(西、荷)阿赫
afraid	n. 代理，中介；代理处，经销处；作用
Africa	n. 议程；日常工作事项；日程表
African	n. 代理人，代理商；药剂；特工；动因vt. 由…作中介；由…代理
afternoon	vt. 加重；使恶化；激怒
afterward	adj. 侵略性的；好斗的；有进取心的；有闯劲的
again	n. 激动；搅动；煽动；烦乱
against	adv. 以前adj. 以前的n. (Ago) （美）阿戈（人名）
agency	vt. 同意，赞成；承认；约定，商定vi. 同意，意见一致；约定，商定
agenda	adj. 令人愉快的；适合的；和蔼可亲的
agent	n. 协议；同意，一致
aggravate	n. 农业；农耕；农业生产；农艺，农学
aggressive	adv. 朝前地，在前面；提前地；领先；（为进步而）向前地；（数量或价值上）更多，更高；将来；获得成功；占优势adj. 在前的，领先的；提前的abbr. 人工智能（artificial intelligence）
agitation	n. 援助；帮助；助手；帮助者vt. 援助；帮助；有助于vi. 帮助n.(Aid)人名；(阿拉伯、印、英)艾德
ago	v. 目的在于；引导；把……对准；瞄准n. 目的；瞄准
agony	n. 空气，大气；天空；样子；曲调vt. 使通风，晾干；夸耀vi. 通风
agree	n. 飞机，航空器
agreeable	n. 航空公司；航线adj. 航线的
agreement	n. 飞机
agriculture	n. 机场；航空站
AI	n. 酒精，乙醇adj.提防的,警惕的n.警惕,警报
aid	adj. 外国的；相异的，性质不同的；不相容的n. 外国人，外侨；外星人vt. 让渡，转让n. (Alien)人名；(法)阿利安
aim	adj. 相似的；相像的adv. 十分相像地，很相似地；两者都，同样地；同等对待地，一视同仁地n. (Alike) （印、美）艾立凯（人名）
air	adj. 活着的；活泼的；有生气的adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部
aircraft	vt. 宣称，断言；提出…作为理由
airline	vt. 减轻，缓和
airplane	n. 联盟，联合；联姻
airport	vt. 分配；拨出vi. 分配；指定
alarm	vt. 允许；给予；认可vi. 容许；考虑
alcohol	n. 津贴，零用钱；允许；限额vt. 定量供应
alert	n. 合金v. 把……铸成合金；使……减低成色n. (Alloy) （美、法、英、巴、加）阿洛伊（人名）
alien	n. 同盟国；伙伴；同盟者；助手vt. 使联盟；使联合vi. 联合；结盟
alive	adv. 差不多，几乎
all	adj. 独自的；单独的；单干的；孤独的；仅仅的；唯一的adv. 独自地；单独地；单干地；只，仅仅；仅仅……就；唯一地；独力地
allege	prep. 沿着；顺着；（事件）进展adv. 一起；向前；来到；越来越（好）；一直
alleviate	prep. 在……旁边，沿着……的边；与 ……一起，合作；与……同时，共存；与……相比adv. 在旁边
alliance	adv. 大声地；出声地162
allocate	n. 字母表，字母系统；入门，初步n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。
allow	adv. 已经，早已；先前
allowance	adv. 也；而且；同样conj. 并且；另外n. (Also)人名；(罗)阿尔索
alloy	vt. 改变，更改vi. 改变；修改n. （Alter）（美、德）阿尔特（人名）adj.交替的,轮流的,预备的v.交替,轮流,改变
almost	conj. 尽管，虽然；但是，然而
along	adv. 完全地；总共；总而言之n. 整个；裸体
alongside	n. 铝adj. 铝的
aloud	adv. 永远，一直；总是；常常
already	vt. 使吃惊
also	n. 大使；代表；使节
alter	adj. 模糊不清的，模棱两可的；不明确的，不明朗的；引起歧义的
alternate	n. 野心，雄心；抱负，志向vt. 追求；有…野心
alternative	adj. 野心勃勃的；有雄心的；热望的；炫耀的
although	n. [车辆][医] 救护车；战时流动医院
altitude	vt. 修改；改善，改进vi. 改正，改善；改过自新n. (Amend)人名；(德、英)阿门德
altogether	n. 赔偿；赔罪v. 修订（amend的第三人称单数）；改进
aluminium	n. 美洲（包括北美和南美洲）；美国
always	n. 美国人，美洲人；美国英语adj. 美国的，美洲的；地道美国式的184
amateur	prep. 在……中间，周围是；在……之中，……之一；与……在一起；在三者或以上（中选择）；以及；为……所特有；（群体内部）相互间
amaze	prep. 在……当中（等于 among）
ambassador	n. 数量，数额；总数；（感情、特质的）程度v. 总计，合计；等于，相当于；发展成，变成
ambiguous	n. 安培（计算电流强度的标准单位）
ambition	adj. 丰富的；足够的；宽敞的n. (Ample)人名；(西)安普尔
ambitious	vt. 放大，扩大；增强；详述vi. 详述
ambulance	vt. 娱乐；消遣；使发笑；使愉快
amend	n. 类比；类推；类似
amends	vt. 分析；分解；细察
America	n. 分析；分解；验定
American	adj. 分析的；解析的；善于分析的
amongst	n. 始祖，祖先；被继承人
amount	n. 锚；抛锚停泊；靠山；新闻节目主播vt. 抛锚；使固定；主持节目
ampere	vi. 抛锚adj. 末棒的；最后一棒的
ample	adj. 古代的；古老的，过时的；年老的n. 古代人；老人
amplify	conj. 和，与；就；而且；但是；然后n. (And)人名；(土、瑞典)安德217n.天使,完善可爱的人
amuse	n. 怒，愤怒；忿怒vt. 使发怒，激怒；恼火vi. 发怒；恼火n.(Anger)人名；(罗)安杰尔；(法)安热；(德、捷、瑞典)安格尔
analogy	n. 角，角度；视角；立场；角铁；（古）鱼钩v. 斜移；从……角度提供信息；钓鱼；谋取
analyse	n. 盎格鲁人
analysis	adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
analytic	n. 动物adj. 动物的
analytical	n. 踝关节，踝
ancestor	n. 周年纪念日
anchor	vt. 宣布；述说；预示；播报vi. 宣布参加竞选；当播音员
ancient	n. [广播] 广播员；宣告者
and	vt. 骚扰；惹恼；打搅vi. 惹恼；令人讨厌；打搅n. 烦恼（等于annoyance）
angel	adj. 年度的；每年的n. 年刊，年鉴；一年生植物
anger	adj. 匿名的，无名的；无个性特征的
angle	det. 又一，另一；另外的，不同的；类似pron. 又一，另一；另外的，不同的；类似adj. 不同的；另一个（人）；类似的n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应
Angle	n. 蚂蚁n. (Ant)人名；(土、芬)安特
angry	adj. 南极的；[地理] 南极地带的n. (the Antarctic) 南极洲；南极地区
animal	v. 预料，预期；预见，预计（并做准备）； 期盼，期望； 先于……做，早于……行动；在期限内履行（义务），偿还（债务）；提前使用
ankle	adj. 古老的，年代久远的；过时的，古董的；古风的，古式的n. 古董，古玩；古风，古希腊和古罗马艺术风格vi. 觅购古玩
anniversary	n. 焦虑；渴望；挂念；令人焦虑的事
announce	adj. 焦虑的；担忧的；渴望的；急切的adj.任何的,任何一种,所有的 pron.无论那一个,任何
announcer	pron. 任何人；有人，别人；随便哪一个人n. 重要人物；平常人
annoy	adv. 总之；无论如何；不管怎样
annual	pron. 任何人；某个人；任何……的人；重要人物；（没有）一个人（用于否定句）；任何一个人
anonymous	pron. 任何东西，任何事物；随便哪个东西；重要东西；某事物（用于疑问句和条件分句中）adv. 根本，究竟（表否定）
another	adv. 无论如何，不管怎样；总之
answer	adv. 在任何地方；无论何处n. 任何地方
ant	adv. 相距；与众不同地；分离着adj. 分离的；与众不同的
antarctic	n. 公寓；房间
antique	n. 道歉；谢罪；辩护；勉强的替代物
anxiety	n. 装置，设备；仪器；器官
anxious	adj. 显然的；表面上的n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉
any	v. 出现；显得；似乎vi. 出庭；登场
anybody	n. 外貌，外观；出现，露面
anyhow	n. 附录；阑尾；附加物
anyone	n. 食欲；嗜好
anything	vt. 赞同；称赞；向…喝彩vi. 喝彩；鼓掌欢迎
anyway	n. 苹果
anywhere	n. 器具；器械；装置；应用
apart	adj. 可适用的；可应用的；合适的
apartment	n. 应用；申请；应用程序；敷用；（对事物、学习等）投入
apologize	vt. 申请；涂，敷；应用vi. 申请；涂，敷；适用；请求
apology	vt. 任命；指定；约定vi. 任命；委派
apparatus	n. 任命；约定；任命的职位
apparent	n. 评价；估价（尤指估价财产，以便征税）；估计
appeal	adj. 可感知的；可评估的；相当可观的
appear	vt. 欣赏；感激；领会；鉴别vi. 增值；涨价
appearance	n. 理解；恐惧；逮捕；忧惧n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近261262
appendix	adj. 适当的；恰当的；合适的vt. 占用，拨出
appetite	n. 批准；认可；赞成
applaud	vt. 批准；赞成；为…提供证据vi. 批准；赞成；满意
apple	adj. 近似的，大概的v. 接近，近似；粗略估计
appliance	adv. 大约，近似地；近于
applicable	n. 四月
application	adj. 恰当的；有…倾向的；灵敏的n. (Apt)人名；(法、波、英)阿普特
apply	adj. 阿拉伯（人）的，（与）阿拉伯（有关）的n. （史）阿拉伯人（或居民）
appoint	adj. [数] 任意的；武断的；专制的
appointment	n. 弧（度）；弧光（全称electric arc）；弧形物；天穹adj. 圆弧的；反三角函数的vt. 形成电弧；走弧线n. (Arc)人名；(法)阿尔克
appraisal	n. 弓形，拱形；拱门adj. 主要的vt. 使…弯成弓形；用拱连接vi.拱起；成为弓形n. (Arch)人名；(德)阿尔希；(英)阿奇
appreciable	n. 建筑师缔造者
appreciate	n. 建筑学；建筑风格；建筑式样；架构
apprehension	adj. 北极的；极寒的n. 北极圈；御寒防水套鞋n. (Arctic)人名；(英)阿克蒂克
approach	n. 区域，地区；面积；范围n. （Area）（西）阿雷亚（人名）
appropriate	vi. 争论，辩论；提出理由vt. 辩论，争论；证明；说服n. (Argue)人名；(英、法)阿格
approval	n. 论证；论据；争吵；内容提要；数，逻自变数；语言学主词，受词
approve	vi. 出现；上升；起立n. (Arise) （美、印、德、英）阿里塞（人名）
approximate	n. 算术，算法；数字
approximately	n. 手臂；武器；袖子；装备；部门vi. 武装起来vt. 武装；备战
April	n. 陆军，军队adv.周围,四周,到处,大约,左右 prep.在...周围,四处
apt	vt. 引起；唤醒；鼓励vi. 激发；醒来；发奋
Arabian	vt. 安排；排列；整理vi. 安排；排列；协商
arbitrary	n. 布置；整理；准备；安排
architect	n. 到来；到达；到达者
architecture	vi. 到达；成功；达成；出生n. (Arrive)人名；(法)阿里夫
arctic	n. 箭，箭头；箭状物；箭头记号vt. 以箭头指示；箭一般地飞向n.(Arrow)人名；(英)阿罗n.艺术,艺术品,技术,巧妙,美术
area	n. 文章；物品；条款；[语] 冠词vt. 订约将…收为学徒或见习生；使…受协议条款的约束vi. 签订协议；进行控告adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说
argue	adj. 人造的；仿造的；虚伪的；非原产地的；武断的
argument	n. 艺术家；美术家（尤指画家）；大师
arise	adj. 艺术的；风雅的；有美感的adv.同样地,被看作,象 prep.当做 conj.与...一样,当...之时,象,因为 [域] American Samoa,东萨摩亚 [军] Air to Surface,空对地(As)symb [化]砷 (arsenic)
arithmetic	vi. 上升；登高；追溯vt. 攀登，上升
arm	vt. 确定；查明；探知
army	vt. 归因于；归咎于n.灰,灰烬,[植]岑树
around	adj. 羞愧的，羞耻的；惭愧的，内疚的；尴尬的；因怕难堪而不愿意的；觉得丢脸的
arouse	n. 亚洲
arrange	n. 亚洲人adj. 亚洲的；亚洲人的
arrangement	adv. 离开，撇开；在旁边n. 旁白；私语，悄悄话；离题的话prep.在…旁边
array	vt. 问，询问；要求；需要；邀请；讨价vi. 问，询问；要求n.（Ask）（芬、瑞典）阿斯克（人名）
arrival	n. 方面；方向；形势；外貌
arrive	n. 攻击；袭击vt. 攻击；袭击vi. 袭击；动武
arrow	vt. 集合，聚集；装配；收集vi. 集合，聚集
art	n. 装配；集会，集合n. 汇编，编译
article	vt. 维护，坚持；断言；主张；声称
articulate	vt. 评定；估价；对…征税
artificial	n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物n.（法）阿塞（人名）
artist	vt. 分配；指派；[计][数] 赋值vi. 将财产过户（尤指过户给债权人）
artistic	n. 分配；任务；作业；功课
ascend	n. 助手，助理，助教adj. 辅助的，助理的；有帮助的vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的
ascertain	n. 协会，联盟，社团；联合；联想
ascribe	vi. 设想；承担；采取vt. 假定；僭取；篡夺；夺取；擅用；侵占
ash	n. 假定；设想；担任；采取
ashamed	n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
Asia	vt. 保证；担保；使确信；弄清楚
Asian	v. （使）惊讶；（使）害怕
aside	n. 宇航员，航天员；太空旅行者
ask	n. 天文学prep.在,于,向,对准,在...方面;Austria,奥地利
asleep	n. 运动员，体育家；身强力壮的人
aspect	n. 大西洋adj. 大西洋的
assault	n. 气氛；大气；空气/ˌætməsˈfɪrɪk,ˌætməsˈferɪ adj. 大气的，大气层的
assemble	n. 原子
assembly	adj. 原子的，原子能的；微粒子的
assert	vt. 使依附；贴上；系上；使依恋vi. 附加；附属；伴随
assess	n. 攻击；抨击；疾病发作vt. 攻击；抨击；动手干vi. 攻击；腐蚀n.(Attack)人名；(瑞典)阿塔克
asset	vt. 达到，实现；获得；到达vi. 达到；获得；到达n. 成就
assign	n. 企图，试图；攻击vt. 企图，试图；尝试
assignment	vt. 出席；上（大学等）；照料；招待；陪伴vi. 出席；致力于；照料；照顾
assimilate	n. 出席；到场；出席人数；考勤
assist	n. 服务员，侍者；随员，陪从；参与者adj. 伴随的；陪伴的
assistant	n. 注意力；关心；立正！（口令）
associate	adj. 注意的；体贴的；留心的
association	n. 态度；看法；意见；姿势
assume	n. 律师；代理人；检察官
assumption	vt. 吸引；引起vi. 吸引；有吸引力
assurance	n. 吸引，吸引力；引力；吸引人的事物
assure	adj. 吸引人的；有魅力的；引人注目的
astonish	n. 属性；特质vt. 归属；把……归于
astronaut	n. 观众；听众；读者；接见；正式会见；拜会
astronomy	vi. 增加；增大vt. 增加；增大n. 增加；增大
at	n. 八月n. （美、德、英、波）奥古斯特（人名）adj. （august）威严的，令人敬畏的
athlete	n. 阿姨；姑妈；伯母；舅妈
Atlantic	adj. 听觉的；耳的；气味的；先兆的n. (Aural)人名；(西)奥拉尔
atmosphere	n. 澳大利亚，澳洲
atmospheric	adj. 澳大利亚的，澳大利亚人的；（动物地理区划）澳新区的；澳大利亚植物区系界的n. 澳大利亚人
atom	adj. 真正的，真实的；可信的
atomic	n. 作者；作家；创始人vt. 创作出版
attach	adj. 有权威的；命令式的；当局的
attack	n. 权威；权力；当局
attain	vt. 批准，认可；授权给；委托代替
attempt	n. 汽车（等于automobile）；自动vi. 乘汽车n. (Auto)人名；(葡)奥托
attend	adj. 自动的；无意识的；必然的n. 自动机械；自动手枪
attendance	n. 自动化；自动操作
attendant	n. 汽车vt. 驾驶汽车[ 过去式 automobiled 过去分词 automobiled现在分词 automobiling ]
attention	n. 自治，自治权
attentive	n. 秋天；成熟期；渐衰期，凋落期adj. 秋天的，秋季的n. (Autumn)人名；(英)奥特姆360378
attitude	adj. 辅助的；副的；附加的；（发动机、设备等）备用的n. 助动词；辅助者，辅助物；附属机构；（北美）志愿队；（海军的）辅助舰队
attorney	v. 有助于；（使）对某人有利n. 效用，利益
attract	adj. 可获得的；可购得的；可找到的；有空的
attraction	n. 大街；林荫大道；（达到某物的）途径，手段，方法，渠道n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出
attractive	vt. 避免，防止；转移
attribute	n. 航空；飞行术；飞机制造业
audience	vt. 避免；避开，躲避；消除
augment	vt. 等候，等待；期待
August	adj. 醒着的v. 觉醒，意识到；使醒来，被唤起，激发起n.奖,奖品vt.授予,判给
aunt	adj. 意识到的；知道的；有…方面知识的；懂世故的n. (Aware)人名；(阿拉伯、索)阿瓦雷
aural	adv. 离去，离开；在远处
Australia	adj. 可怕的；极坏的；极讨厌的；难受的；使人敬畏的；非常的adv.极其，非常
Australian	adv. 可怕地；十分；非常；很
authentic	adj. 尴尬的；笨拙的；棘手的；不合适的
author	v. 削减，删除；用斧修整；解雇；询问n. 斧头；爵士乐器（尤指吉他或萨克斯管）n. (Ax) （德、芬）阿克斯（人名）
authoritative	n. 轴；轴线；轴心国
authority	n. 婴儿，婴孩；孩子气的人vt. 纵容，娇纵；把……当婴儿般对待
authorize	adj. 婴儿的；幼小的n. (Baby)人名；(法、葡)巴比；(英)巴比，芭比(女名)；(俄)巴贝
auto	n. 学士；单身汉；（尚未交配的）小雄兽n. (Bachelor)人名；(英)巴彻勒adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持
automatic	n. 背景；隐蔽的位置vt. 作…的背景adj. 背景的；发布背景材料的adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏
automation	n. [微] 细菌
automobile	adj. 坏的；严重的；劣质的n. 坏事；坏人adv. 很，非常；坏地；邪恶地n. (Bad)人名；(罗)巴德
autonomy	n. 徽章；证章；标记vt. 授给…徽章
autumn	adv. 非常，很；严重地，厉害地；恶劣地
avail	vt. 使…困惑；使…受挫折；用挡板控制n. 挡板；困惑vi. 做徒劳挣扎
available	n. 包；袋；猎获物；（俚）一瓶啤酒vt. 猎获；把…装入袋中；放弃；得分；占据，私吞；使膨大；毁掉vi. 松垂；变形
avenue	n. 行李；[交] 辎重（军队的）
average	vt. 烤，烘焙vi. 烘面包；被烤干；受热n. 烤；烘烤食品n. (Bake)人名；(德、瑞典)巴克
avert	n. 平衡；余额；匀称vt. 使平衡；结算；使相称vi. 保持平衡；相称；抵销n. (Balance)人名；(西)巴兰塞adj.光秃的,单调的,枯燥的
aviation	n. 球；舞会vi. 成团块vt. 捏成球形n. (Ball)人名；(土)巴勒；(英、西)鲍尔；(法、德、俄、罗、捷)巴尔401402405
avoid	n. 芭蕾舞，芭蕾舞曲，芭蕾舞剧；芭蕾舞团；芭蕾式交流n.(Ballet) （法、美）巴莱（人名）n.气球n.禁令vt.禁止,取缔(书刊等)
await	n. 香蕉；喜剧演员；大鹰钩鼻n. （Banana）（葡、津）巴纳纳（人名）
awake	n. 带，环；[物] 波段；（演奏流行音乐的）乐队；人群vi. 用带绑扎；给……镶边
award	n. 绷带vt. 用绷带包扎
aware	n. 刘海；重击；突然巨响adv. 直接地；砰然地；突然巨响地vt. 重击；发巨响；粗俚性交n. (Bang)（英、乍）班，(芬、德、丹)邦（人名）
away	n. 银行；岸；浅滩；储库vt. 将…存入银行；倾斜转弯vi. 堆积；倾斜转弯n. (Bank)人名；(英、德、俄)班克；(法、匈)邦克
awful	adj. 破产的vt. 使破产n. [经] 破产者
awfully	n. 横幅图片的广告模式n. 旗帜，横幅,标语n. 人名(英、德、罗)班纳
awkward	n. 条，棒；酒吧；障碍；法庭vt. 禁止；阻拦prep. 除……外n.(Bar)人名；(阿拉伯、德、法、俄、罗、捷、波、葡、以)巴尔
ax	n. （为男子理发的）理发师；男子理发店v. 为（男子）理发；当理发师n. (Barber) （美）巴伯（人名）
axis	adj. 空的；赤裸的，无遮蔽的vt. 露出，使赤裸n. (Bare)人名；(英)贝尔
bachelor	n. 交易；便宜货；契约vt. （谈价钱后）卖vi. 讨价还价；谈判410412423
back	n. 树皮；深青棕色；毛皮；皮肤；狗叫vt. 狗叫；尖叫；剥皮n.(Bark)人名；(英、西、德、捷、法、芬、瑞典)巴克；(阿拉伯、俄)巴尔克
background	n. 谷仓；畜棚；车库；靶（核反应截面单位）vt. 把……贮存入仓
backward	n. 桶； 一桶（的量）；枪管，炮管；（马等四足动物的）躯干v. 快速移动；把……装入桶内n. (Barrel) （法、意）巴雷尔（人名）
bacteria	adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的n. 荒地n.(Barren)人名；(西、英)巴伦
bad	n. 障碍物，屏障；界线vt. 把……关入栅栏n. （Barrier）（法）巴里耶（人名）n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的
badge	n. 地下室；地窖
badly	adj. 基本的；基础的n. 基础；要素
badminton	adv. 主要地，基本上
baffle	n. 水池；流域；盆地；盆n. (Basin)人名；(俄)巴辛；(法)巴赞
bag	n. 基础；底部；主要成分；基本原则或原理
baggage	n. 篮子；（篮球比赛的）得分；一篮之量；篮筐vt. 装入篮
bake	n. 篮球；篮球运动
balance	n. 蝙蝠；球棒；球拍；批处理文件的扩展名vt. 用球棒击球；击球率达…vi. 轮到击球；用球棒击球n. (Bat)人名；(蒙、英)巴特430433
bald	n. 一批；一炉；一次所制之量vt. 分批处理n. (Batch)人名；(英)巴奇
ball	n. 沐浴；浴室；浴盆vt. 洗澡vi. 洗澡
ballet	vt. 沐浴；用水洗vi. 洗澡；沐浴n. 洗澡；游泳n. (Bathe)人名；(德)巴特；(英)巴思
